,University,2014 Authors Mean,2014 Authors Log Mean,2014 Authors Std,2014 Authors log Std,2015 Authors Mean,2015 Authors Log Mean,2015 Authors Std,2015 Authors log Std,2016 Authors Mean,2016 Authors Log Mean,2016 Authors Std,2016 Authors log Std,2017 Authors Mean,2017 Authors Log Mean,2017 Authors Std,2017 Authors log Std,2018 Authors Mean,2018 Authors Log Mean,2018 Authors Std,2018 Authors log Std,Authors Mean Change,Authors Mean Acc,Authors Std Change,Authors Std Acc
47,The University of Queensland,19.1125,18.15064961277064,6.802561557972114,1.359310720308475,20.1125,18.996603025989884,7.502489170268757,1.3819593036129716,20.38125,19.28200185093105,7.87549353612205,1.3674856835669815,20.08125,19.19278133520014,7.053343068184047,1.3237816793071433,22.09375,20.852732445717898,9.077304717673634,1.371439082223419,0.7453124999999998,0.33749999999999974,0.5686857899253801,0.4413446790643147
48,The Chinese University of Hong Kong (CUHK),3.0625,2.807189843911287,1.4945212444124036,1.4790880817930108,3.38125,3.0019853746486898,1.9521522577657737,1.5779800381548126,3.73125,3.3402670803142804,2.051590465346343,1.5627842250155572,4.425,3.80272002503921,3.1692861972374833,1.6502858197781616,5.275,4.71776802729637,2.966374049239239,1.553746778145611,0.5531250000000001,0.17708333333333348,0.36796320120670883,-0.22018105378387146
49,Université PSL,35.6875,35.59587745418835,2.6930175918474797,1.0725982081963088,21.35625,20.713197527577968,5.988892713807788,1.2653022467523933,46.48125,46.33002124909386,3.7814875958410847,1.0838875234367686,29.275,29.084059404308363,4.210032660205867,1.1084379880564434,23.50625,23.059479367249974,7.289544631696818,1.1745363776562596,-3.0453124999999996,2.8541666666666665,1.1491317599623345,-0.07212105015645258
50,University of Bristol,79.09375,78.37970021932051,12.881574474321841,1.1302119265229005,83.46875,82.93356958195098,11.081472078992935,1.1105242373730333,106.3,105.92633941044718,9.929627384751155,1.082787584133546,125.40625,125.08021698203801,10.248351620504636,1.070195756738701,146.10625,145.86521875751677,9.180547964990973,1.0564952269249666,16.753124999999997,5.441666666666663,-0.925256627332717,0.2440995799384146
51,Delft University of Technology,14.6625,13.796184910981514,5.642348247848582,1.397174692137013,14.325,13.441304745974985,5.926160223956143,1.3970549725959747,14.7625,13.90441707925573,5.903904957737713,1.386013395980105,15.025,14.15805208660078,5.678853317352016,1.3931110625738408,15.28125,14.421451471626204,6.147328561049913,1.3735800202138808,0.1546875000000001,0.19791666666666666,0.12624507830033282,0.06155442253011204
52,University of Wisconsin-Madison,100.53125,99.61920093006812,15.447055494090128,1.1350260678583846,125.56875,124.67315327512101,16.819490879259693,1.1199273670672474,134.4,132.92178311928927,22.873346934806047,1.149232282173127,126.4875,125.49767254844073,18.375590976891054,1.1235243260797076,153.8,152.265614984259,25.21105908128414,1.1406548964350527,13.317187500000003,0.75833333333334,2.4410008967985033,1.8210109064078406
53,The University of Warwick,88.46875,88.06338658220864,9.620240300403104,1.094556392384998,117.24375,116.99966480282649,8.301917606041364,1.0637227380735774,124.68125,124.48961426006947,7.5360565574775435,1.0546217233472641,95.80625,95.34702224600414,10.819251865886985,1.0958463299787582,115.9375,115.68520932872735,8.43851845705157,1.0649540819772412,6.8671875,-2.8812500000000036,-0.2954304608378835,-0.35413690482455823
54,City University of Hong Kong,14.8125,13.205285384976529,9.533616509488935,1.5390333593311267,14.96875,13.4562274566242,9.899761281844123,1.4999125195106686,14.99375,13.388203940754211,10.447784977568196,1.5177853449671206,16.41875,14.691562569680146,10.669742191707362,1.5251696184937193,16.95,15.257853493359413,10.33670643870669,1.511114844467282,0.5343749999999998,0.125,0.20077248230443878,-0.2330601751186201
55,Brown University,83.44375,82.93459956977178,9.475459668929005,1.115341814362648,85.28125,85.11463789819705,5.413145891023075,1.0640355116199787,106.15625,106.06932532476445,4.338125855424206,1.0411033045126075,122.50625,122.50226557513574,0.9937106910464456,1.0080748117253788,145.6625,145.64998021176228,1.9166621376758108,1.0131740680158425,15.5546875,7.106249999999998,-1.8896993828132989,1.6617550748450984
56,University of Amsterdam,84.10691823899371,84.10520263073137,0.5447426831077324,1.0063631569575469,114.35,114.34125567220096,1.4628738838327815,1.0122356722993544,123.34375,123.3404072009741,0.9154703367668448,1.0073596391295012,92.6375,92.60871620374176,2.3991860598961527,1.0247642018311771,113.59375,113.5618166425039,2.8488964420455862,1.0233312884644374,7.3717079402515715,-3.0956105870020942,0.5760384397344634,-0.1561402728585386
57,Tokyo Institute of Technology,84.78125,84.72582879022248,3.1378174640185814,1.0363975690257332,115.59375,115.55280284764213,3.154950227420395,1.026639229552906,125.19375,125.13517095397434,3.889885722935824,1.030828802019893,93.50625,93.46552600365794,2.8262096414632767,1.0295996440644728,114.875,114.84042211172803,2.8825986539926087,1.0245634053887451,7.5234375,-3.147916666666665,-0.06380470250649317,0.013085416375839523
58,Monash University,18.0125,17.258948581697062,5.878974719285667,1.321467238285069,18.1,17.29302130156494,6.410148204214942,1.326952150077483,29.1625,28.96626305622124,4.00138647845967,1.1132332635890936,31.95,31.84141091643406,2.993325909419145,1.080755058635022,62.36875,62.34998693771952,1.5993040478595655,1.0242847256096528,11.0890625,10.110416666666666,-1.0699176678565254,-0.6417317821629516
